Product,Price
HP 305 Original Ink Cartridge Black,885.00 جنيه
HP طابعة ليزر طراز M111a أبيض,"4,815.00 جنيه"
HP 250 G7 Notebook Laptop - 15.6-inch – Intel Core i3-1005G1 - 4GB RAM - 1TB HDD - Intel UHD Graphics - Windows 10 - Black,"14,676.00 جنيه"
HP K0B38AA حقيبة لاب توب 15.6 بوصة,800.00 جنيه
HP ماوس لاسلكي، شحن يو اس بى،تردد 2.4 جيجاهرتز - W10,220.00 جنيه
HP 220 Wireless Keyboard 805T2AA - Black,"1,170.00 جنيه"
HP Victus 15-FA0033DX Gaming Laptop Intel Core i5-12450H 512GB SSD 8GB Ram Nvidia GeForce RTX 3050 4GB 15.6'' Inch FHD Win.11 - Performance blue,"32,800.00 جنيه"
HP HP 15-FD0346NIA I7-1355U – 8 جيجا – 512 جيجا SSD – رسومات INTEL IRIS XE – 15.6 FHD – DOS – فضي,"27,999.00 جنيه"
HP 963XL Original Ink Cartridge 3JA30AE Black,"3,700.00 جنيه"
HP LaserJet Pro 4003n Printer,"9,666.00 جنيه"
HP 106A Black Original Laser Toner Cartridge For HP Printers,"2,775.00 جنيه"
"HP HP ProBook 450 G10 ( Core i5-1335U, 16GB DDR4-3200, 1TB NVMe,VGA Nvidia 4G RTX 2050, 15.6FHD KB Backlit, FingerPrint-Silver )","36,880.00 جنيه"
HP M141W - LaserJet  Printer,"9,199.00 جنيه"
HP Pack Of 4 High Yield Toner Ink Bottle Multicolour GT52/GT53,"2,600.00 جنيه"
HP ماوس لاسلكي، شحن USB,220.00 جنيه
HP خرطوشة حبر903 أصلية طراز T6L99AE أسود,"1,450.00 جنيه"
HP Mouse USB Gaming HPG270,115.00 جنيه
HP 59A Original LaserJet Toner,"6,217.00 جنيه"
HP ماوس ألعاب سلكي USB بأربعة أزرار، مستشعر Sunplus 168A، M100 اسود,99.00 جنيه
HP M211DW - LaserJet Printer,"8,999.00 جنيه"
HP NB-HP VICTUS 15-FB2082WM-R5 8645HS-512GB SSD-16GB-RTX4050 6GB-15.6FHD 144HZ-WIN11-SILVER,"40,999.00 جنيه"
HP طابعة ألوان  Color Laser MFP 178nw متعددة المهام للطباعة والنسخ والمسح الضوئي - اللون: أبيض 4ZB96A,"20,250.00 جنيه"
HP طابعة ليزر جت MFP طراز M141a أبيض,"6,990.00 جنيه"
"HP 122 Ink Cartridge, Black Original","1,155.00 جنيه"
HP GT52 Original Ink Cartridge Yellow  MOH56AE,710.00 جنيه
HP ورق تصوير - 80جم  أبيض - باكو 500 ورقة,216.00 جنيه
HP DeskJet Plus 4120 All-in-One Printer (3XV14B),"4,800.00 جنيه"
HP خرطوشة حبر 953xl عالية الإنتاجية - طراز F6u16ae أزرق سماوي,"2,600.00 جنيه"
HP GT53XL Original Ink Bottle Black,850.00 جنيه
HP كابل HP USB -A إلى Micro USB - أسود,199.00 جنيه
HP HP Z3700 Purple - Black Wireless Mouse - Without Box,999.00 جنيه
